ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1000001,Carrefour Market,4620100,519800,01000,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,R
1000002,Carrefour Market,4621842,522767,01000,16 Avenue de Marboz,BOURG-EN-BRESSE,R
1000004,TotalEnergies,4618800,524500,01000,20 Avenue du Maréchal Juin,Bourg-en-Bresse,R
1000007,E.Leclerc,4622100,524500,01000,AVENUE FRANCOIS PIGNIER,Bourg-en-Bresse,R
1000008,Carrefour,4619900,524100,01000,Bd Charles de Gaulle,BOURG-EN-BRESSE,R
1000009,Intermarché,4619600,522900,01000,56 Rue du Stand,Bourg-en-Bresse,R
1000012,TotalEnergies,4620100,520000,01000,642 AVENUE DE TREVOUX,SAINT DENIS LES BOURG,R
1000013,TotalEnergies Access,4619900,524400,01000,BOULEVARD CHARLES DE GAULLE,Bourg-en-Bresse,R
1000016,TotalEnergies Access,4620516.06,522502.48,01000,1 bvd John Kennedy,Bourg en Bresse,R
1090001,Auchan,4609600,477500,01090,1 ROUTE DE FRANCHELEINS,MONTCEAUX,R
1100001,Géant,4628404,566282,01100,ROUTE DE DORTAN,Arbent,R
1100002,Carrefour Market,4625000,564400,01100,Rue Brillat-Savarin,OYONNAX,R
1100004,Avia,4627200,566000,01100,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,R
1100006,Intermarché,4626200,564800,01100,74 Rue Jules Michelet,Oyonnax,R
1100007,TotalEnergies,4625000,564100,01100,174 COURS DE VERDUN,OYONNAX,R
1100008,Netto,4626700,565500,01100,32 COURS DE VERDUN,Oyonnax,R
1100009,autre,4625300,564600,01100,RUE DU 19 MARS 1962,ARBENT,R
1110001,Carrefour Market,4597800,559900,01110,Rue Masonod,HAUTEVILLE-LOMPNES,R
1120004,Système U,4585300,505900,01120,Cours de la Portelle,MONTLUEL,R
1120005,Intermarché,4584700,504800,01120,Route de Thil,LA BOISSE,R
1120006,TotalEnergies,4584600,504100,01120,521 ROUTE NATIONALE,La Boisse,R
1120007,Shell,4584500,507000,01120,"AUTOROUTE A42, AIRE DE LYON-DAGNEUX",DAGNEUX,A
1120008,TotalEnergies,4584700,507400,01120,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,A
1130002,Avia,4616700,569100,01130,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,R
1130003,TotalEnergies Access,4615800,560400,01130,RTE DE LA CLUSE RN 84,NANTUA,R
1140001,Système U,4618000,481700,01140,416 AVENUE DE LA LIBERATION,Saint-Didier-sur-Chalaronne,R
1150001,Carrefour Market,4590200,534600,01150,8 RUE DE L'INDUSTRIE,LAGNIEU,R
1150002,TotalEnergies,4583900,527800,01150,Avenue Charles de Gaulle,SAINT-VULBAS,R
1160002,Système U,4604000,534200,01160,Le Pont Rompu - RD 1084,PONT-D'AIN,R
1160003,Intermarché,4607400,537600,01160,Rue du Docteur Hubert,NEUVILLE-SUR-AIN,R
1160005,TotalEnergies Access,4605335.06156,533741.036717,01160,RTE DE BOURG RN 75,Pont-d'Ain,R
1170001,Carrefour,4629300,607900,01170,RN5,SéGNY,R
1170002,Carrefour Market,4632200,605300,01170,Lieu-Dit les Vertes Campagnes,GEX,R
1170003,Intermarché,4633755,607534,01170,Route de Divonne les Bains,Gex,R
1170005,Avia,4633522,605800,01170, Avenue des Tilleuls,GEX,R
1190001,Avia,4644200,497000,01190,PAE Pont de Vaux Est,Saint-Bénigne,R
1200001,Carrefour Market,4610600,582300,01200,69 Rue de la République,Bellegarde-sur-Valserine,R
1200003,Carrefour,4612400,581200,01200,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,R
1210001,Carrefour,4625303,611817,01210,Chemin de la Brunette,FERNEY-VOLTAIRE,R
1210003,E.Leclerc,4624400,609500,01210,Route de Meyrin,FERNEY-VOLTAIRE,R
1220001,Carrefour Market,4634300,614100,01220,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,R
1230002,Avia,4594200,543200,01230,38 AVENUE DE L EUROPE,SAINT-RAMBERT-EN-BUGEY,R
1230003,Elan,4592100,539400,01230,RD 1504,Torcieu,R
1250002,BP,4620500,529500,01250,AIRE DE BOURG TEYSSONGE A 40,Ceyzériat,A
1250004,Avia,4613408,528880,01250,route de la Vavrette,TOSSIAT,R
1250005,TotalEnergies,4620355.8237727,529588.28488323,01250,AUTOROUTE A40 - AIRE DE BOURG JASSERON,CEYZERIAT,A
1250006,Système U,4617972.0878139,532494.62851004,01250,51 route de jasseron,Ceyzériat,R
1270003,TotalEnergies,4638200,534500,01270,82 GRANDE RUE,COLIGNY,R
1290001,Système U,4625500,489000,01290,254 Route de Chatillon Sur Chalaronne,LAIZ,R
1300001,Carrefour,4576000,568600,01300,ZAC DE L OUSSON,Belley,R
1300002,Simply Market,4575572,568334,01300,Rue Mante,BELLEY,R
1300003,Intermarché,4577800,568900,01300,RN 504 - ZI de Penaye,Chazey-Bons,R
1310001,TotalEnergies,4625082.58935,511211.332738,01310,1123 Route de Mâcon,POLLIAT,R
1310003,Casino,4625600,505700,01310,Lieu-dit Logis-Neuf,Confrançon,R
1310005,autre,4625500,505900,01310,105 ROUTE DE VANDEINS,Confrançon,R
1320001,TotalEnergies,4599100,516900,01320,259 ROUTE DE MEXIMIEUX,CHALAMONT,R
1320002,Casino,4599800,517700,01320,Lieu dit lePetit Étang,Chalamont,R
1320004,autre,4599855.2680838,517427.58060087,01320,LD LE PETIT ETANG,CHALAMONT,R
1330002,Système U,4600700,503500,01330,zac de la tuilerie,VILLARS-LES-DOMBES,R
1330003,TotalEnergies,4599900,489900,01330,245 ROUTE DU 3 SEPTEMBRE 1944,Amberieux-en-Dombes,R
1340002,TotalEnergies,4632300,513700,01340,1699 ROUTE DE BOURG,Malafretaz,R
1340003,Intermarché,4634600,512600,01340,Les Cézilles,Jayat,R
1340004,Dyneff,4627900,516500,01340,771 Route de Bourg,ATTIGNAT,R
1340005,Carrefour Market,4633472.64,512600.21,01340,103 RUE DES LUYERS,Montrevel-en-Bresse,R
