,id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
0,1000001,carrefour,46.201,5.198,1000,596 AVENUE DE TREVOUX,SAINT-DENIS-LèS-BOURG,R
1,1000002,carrefour,46.21842,5.22767,1000,16 Avenue de Marboz,BOURG-EN-BRESSE,R
4,1000008,carrefour,46.199,5.241,1000,Bd Charles de Gaulle,BOURG-EN-BRESSE,R
11,1100002,carrefour,46.25,5.644,1100,Rue Brillat-Savarin,OYONNAX,R
17,1110001,carrefour,45.978,5.599,1110,Rue Masonod,HAUTEVILLE-LOMPNES,R
26,1150001,carrefour,45.902,5.346,1150,8 RUE DE L'INDUSTRIE,LAGNIEU,R
31,1170001,carrefour,46.293,6.079,1170,RN5,SéGNY,R
32,1170002,carrefour,46.322,6.053,1170,Lieu-Dit les Vertes Campagnes,GEX,R
36,1200001,carrefour,46.106,5.823,1200,69 Rue de la République,Bellegarde-sur-Valserine,R
37,1200003,carrefour,46.124,5.812,1200,Avenue Maréchal de Lattre de Tassigny,Bellegarde-sur-Valserine,R
38,1210001,carrefour,46.25303,6.11817,1210,Chemin de la Brunette,FERNEY-VOLTAIRE,R
40,1220001,carrefour,46.343,6.141,1220,691 AVENUE DU CRET D'EAU,Divonne-les-Bains,R
49,1300001,carrefour,45.76,5.686,1300,ZAC DE L OUSSON,Belley,R
63,1340005,carrefour,46.334726399999994,5.1260021,1340,103 RUE DES LUYERS,Montrevel-en-Bresse,R
65,1350004,carrefour,45.847332623161996,5.7869158896959005,1350,450 AVENUE JEAN FALCONNIER,Culoz,R
70,1390001,carrefour,45.927,4.958,1390,70 Allées des Marronniers,Saint-André-de-Corcy,R
75,1400001,carrefour,46.119,4.961,1400,AVENUE MARECHAL FOCH,CHATILLON-SUR-CHALARONNE,R
85,1460001,carrefour,46.17225,5.57729,1460,68 Rue du Jura,MONTREAL-LA-CLUSE,R
89,1480001,carrefour,45.98403,4.75694,1480, Rue Édouard Herriot,JASSANS-RIOTTIER,R
91,1500001,carrefour,45.962439754254,5.3590707856714,1500,Rue Alexandre Bérard,Ambérieu-en-Bugey,R
97,1510003,carrefour,45.873,5.698,1510,"1 rue des champs ""les terrasses""",Artemare,R
98,1540001,carrefour,46.198,4.994,1540,184 rue du 19 mars 1962,VONNAS,R
104,1600001,carrefour,45.828,4.972,1700,Rue du Figuier,MIRIBEL,R
105,1600002,carrefour,45.934724745,4.79062770497,1600,324 Route de Lyon,TREVOUX,R
107,1630001,carrefour,46.242,6.025,1630,RUE DE GENEVE -,SAINT-GENIS-POUILLY,R
117,1800001,carrefour,45.901,5.191,1800,47 Route de Lyon,MEXIMIEUX,R
120,1960001,carrefour,46.182,5.214,1960,Chemin de Bellevue,PERONNAS,R
124,2000002,carrefour,49.548,3.616,2000,ZAC ILE DE FRANCE,LAON,R
125,2000003,carrefour,49.5700531713,3.60820562241,2000,16 RUE FERNAND CHRIST,LAON,R
130,2000010,carrefour,49.563632230136,3.6456861996276,2000,RUE DU DR MENU,Laon,R
143,2120003,carrefour,49.90316,3.62899,2120,RUE SADI CARNOT,GUISE,R
150,2170001,carrefour,50.013,3.781,2170,RUE DES VERRIERS,LE NOUVION-EN-THIéRACHE,R
154,2190007,carrefour,49.435036675202,3.9668949241097,2190,3 Rue Pierre Curtil,Guignicourt,R
159,2200011,carrefour,49.38127,3.30822,2200,Avenue de Compiègne,MERCIN-ET-VAUX,R
160,2200012,carrefour,49.36299,3.40346,2200,Rue d'Acy,Venizel,R
164,2220001,carrefour,49.341,3.529,2220,34 BD DE MONTPELLIER,BRAINE,R
165,2230002,carrefour,49.958,3.43,2230,1000 rue jean jaures,Fresnoy-le-Grand,R
168,2250001,carrefour,49.743,3.773,2250,Rue Saint Nicolas,MARLE,R
170,2260001,carrefour,49.973,3.918,2260,rue de l'armistice,LA CAPELLE,R
171,2270001,carrefour,49.689,3.622,2270,2 AVENUE DE LA LIBERATION,Crécy-sur-Serre,R
175,2300002,carrefour,49.591,3.234,2300,CHEMIN DEPARTEMENTAL 937,AUTREVILLE,R
177,2300009,carrefour,49.5197529,3.1492908,2300,24 rue du point du jour,Blérancourt,R
182,2340001,carrefour,49.689,4.022,2340,14 ROUTE DE MONTCORNET,LISLET,R
185,2370005,carrefour,49.405636006255996,3.5149754981475,2370,20 AVENUE JEAN JAURES,VAILLY SUR AISNE,R
188,2400001,carrefour,49.04,3.387,2400,37 Avenue d'Essômes,CHâTEAU-THIERRY,R
194,2450002,carrefour,50.001,3.687,2450,16 RUE DU 2 SEPTEMBRE 1944,LA NEUVILLE-LèS-DORENGT,R
195,2450003,carrefour,49.9772968,3.6768151000000002,2450,16 RUE DU 2 SEPTEMBRE 1944,La Neuville-lès-Dorengt,R
196,2460003,carrefour,49.184986815428,3.1213787735998997,2460,12 rue de villers,La Ferté-Milon,R
198,2480002,carrefour,49.73353618049801,3.2450595752320996,2480,Rond point de la victoire,Jussy,R
205,2600006,carrefour,49.256,3.08,2600,231rd rue du general leclerc,Villers-Cotterêts,R
212,2800004,carrefour,49.66023,3.37185,2800,1 Chemin de Danizy,LA FèRE,R
216,3000001,carrefour,46.541,3.344,3000,169 ROUTE DE LYON,MOULINS,R
221,3100001,carrefour,46.3474438067,2.60218545365,3100,Quai ledru Rollin,MONTLUçON,R
232,3120002,carrefour,46.255902605517,3.6224703584643,3120,RUE DE VERDUN,LAPALISSE,R
238,3150005,carrefour,46.316,3.398,3150,98 avenue de Chazeuil,VARENNES-SUR-ALLIER,R
241,3160001,carrefour,46.58333,3.06336,3160,Avenue Emile Guillaumin,BOURBON-L'ARCHAMBAULT,R
243,3190004,carrefour,46.531,2.622,3190,1 route de montluçon,Vallon-en-Sully,R
244,3190005,carrefour,46.531,2.622,3190,1 ROUTE DE MONTLUCON,VALLON EN SULLY,R
252,3270001,carrefour,46.0545608,3.4701495400000004,3270,3 RUE DU BOIS DES JARRAUX,SAINT-YORRE,R
256,3300001,carrefour,46.13843644999999,3.4486677500000003,3300,RTE DE CHARMEIL,CUSSET,R
258,3300003,carrefour,46.136,3.455,3300,rue des peupliers,CUSSET,R
261,3350002,carrefour,46.61658854,2.82206505,3350,Avenue Jean Jaurès,Cérilly,R
265,3390003,carrefour,46.321,2.961,3390,ROUTE DE MOULINS,MONTMARAULT,R
270,3400004,carrefour,46.5666939,3.3547122148461,3400,RD12 ZONE LA PLAINE BODIN - 65 ROUTE DE MONTBEUGNY,Yzeure,R
279,3430001,carrefour,46.474,2.827,3430,Route de Hérisson,COSNE-D'ALLIER,R
281,3500002,carrefour,46.31156,3.28058,3500,Route de Montmarault,SAINT-POURçAIN-SUR-SIOULE,R
286,3600001,carrefour,46.294,2.741,3600,Avenue Edouard Vaillant,COMMENTRY,R
290,3630004,carrefour,46.355,2.621,3630,51 RUE DE LA REPUBLIQUE,DESERTINES,R
297,3800007,carrefour,46.084179728058,3.2007152920654,3800,1 AVENUE DES PORTES OCCITANES,GANNAT,R
300,4000001,carrefour,44.076,6.188,4000,ROUTE DE MARSEILLE,DIGNE-LES-BAINS,R
353,4700003,carrefour,43.92768,5.89091,4700,RN 96 CENTRE COMMERCIAL LE PLAN,LA BRILLANNE,R
355,4700006,carrefour,43.912383289938,5.9157381351348,4700,AVENUE FLOURENS AILLAUD,Oraison,R
365,5100004,carrefour,44.899,6.634,5100,CENTRE COMMERCIAL SUD,BRIANCON,R
368,5120002,carrefour,44.7929320359,6.55974685925,5120,PLACE DE LA MAIRIE,L'Argentière-la-Bessée,R
397,5400004,carrefour,44.5373983,5.834620999999999,5400,ROUTE DE GAP,VEYNES,R
399,5500002,carrefour,44.675773217151,6.075892485075101,5500,ZA DU MOULIN,Saint-Bonnet-en-Champsaur,R
403,5600006,carrefour,44.660867125097,6.653216819505,5600,Porte du Queyras,GUILLESTRE,R
430,6140005,carrefour,43.7251854,7.0962481,6140,976 avenue rhin et danube,vence,R
437,6156001,carrefour,43.571,6.959,6150,Z.I. Les Tourrades,Cannes,R
449,6201001,carrefour,43.73,7.186,6200,606 boulevard du mercantour,Nice,R
461,6250001,carrefour,43.579827627633996,6.9959674750295004,6250,3256 CHEMIN DE CARIMAÏ,MOUGINS,R
467,6260002,carrefour,43.954755139463,6.89044101879,6260,RN 202 Quartier St-Roch,PUGET-THENIERS,R
510,6530003,carrefour,43.650138552655,6.810616369366,6530,ROUTE DE GRASSE,Saint-Cézaire-sur-Siagne,R
512,6530007,carrefour,43.634449000000004,6.853901,6530,Faisse longue-route de draguignan - Lotissement le Hameau du Val du Tignet,Tignet,R
517,6560001,carrefour,43.645,7.049,6560,Chemin du Darbousson,VALBONNE,R
520,6600001,carrefour,43.603,7.085,6600,Chemin de Saint-Claude,ANTIBES,R
535,6610005,carrefour,43.717648206695,7.1522485398704,6610,ROUTE DE CAGNES,LA GAUDE,R
568,7110004,carrefour,44.538,4.293,7110,76 avenue de la République,Largentière,R
576,7140001,carrefour,44.406,4.137,7140,Centre Commercial La Clairette,LES VANS,R
585,7190001,carrefour,44.8216,4.58402,7190,Grande Rue,Saint-Sauveur-de-Montagut,R
593,7200010,carrefour,44.605,4.387,7200,56 Avenue de Bellande,Aubenas,R
600,7220003,carrefour,44.475896399999996,4.692095800000001,7220,QUARTIER PLANZOLLES RN86,Viviers,R
605,7260001,carrefour,44.479,4.248,7260,Les Beaumes,JOYEUSE,R
609,7300001,carrefour,45.055,4.839,7300,RUE HELENE DE TOURNON,TOURNON-SUR-RHôNE,R
624,7430002,carrefour,45.261,4.703,7430,Route de Lyon,DAVéZIEUX,R
636,7800008,carrefour,44.857,4.83,7800,RD 86 - LIEUDIT LES COTES,Saint-Georges-les-Bains,R
637,8000001,carrefour,49.739,4.707,8000,1 rue Paulin Richier,CHARLEVILLE-MéZIèRES,R
645,8110001,carrefour,49.62,5.191,8110,route nationale,Blagny,R
648,8130003,carrefour,49.47872,4.57662,8130,3 Rue Saint-Charles,Attigny,R
652,8150001,carrefour,49.84,4.545,8150,RUE PASTEUR,RIMOGNE,R
653,8150002,carrefour,49.84,4.605,8150,Avenue Martyrs de la Résistance,Renwez,R
654,8170001,carrefour,49.989,4.692,8170,rue des evignes,FUMAY,R
657,8190003,carrefour,49.47064,4.12341,8190,1 Rue Chantereine,Asfeld,R
663,8230001,carrefour,49.9279955609,4.52567373636,8230,Route de la Petite Chapelle,ROCROI,R
666,8300001,carrefour,49.511,4.368,8300,ZONE DE L'ETOILE,Rethel,R
